epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998116198882,0.18749998116198882,0.06249999569416888,0.06249998546781994,0.0625,0.06249999569416888,0.06249998546781994,0.0625,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,3.896217050552368,0.02199876576727765,0.02199881937019724,0.021440446910824515,0.0005407489292205326,1.756992723260607e-05,0.021440500733713626,0.0005407487399994381,1.756989648417821e-05,0.6542857142857142,0.9996825396825397,1.0,0.6542857142857142,0.9996825396825397,1.0,1.0,0.9971428571428571,0.8471428571428572,0.7442857142857143,0.5557142857142857,0.6585714285714286,0.36857142857142855,0.2571428571428571,0.46,1.0,0.9971428571428571,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971428571428571,0.8471428571428572,0.7442857142857143,0.5557142857142857,0.6585714285714286,0.36857142857142855,0.2571428571428571,0.46,1.0,0.9971428571428571,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.405200233459473,0.015338180018900983,0.01533816061427774,0.015300481348861882,2.0154899074917746e-05,1.7543770964183504e-05,0.015300461972621804,2.0154880152808296e-05,1.7543761503128778e-05,0.8395238095238096,1.0,1.0,0.8395238095238096,1.0,1.0,1.0,1.0,0.9614285714285714,0.9414285714285714,0.8057142857142857,0.9614285714285714,0.5771428571428572,0.5742857142857143,0.7342857142857143,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9614285714285714,0.9414285714285714,0.8057142857142857,0.9614285714285714,0.5771428571428572,0.5742857142857143,0.7342857142857143,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.3977135181427,0.011748298023428238,0.011748286221419482,0.011720774817088294,7.217091227334643e-06,2.0306115112607443e-05,0.01172076297605269,7.2171113320759364e-06,2.0306134034716894e-05,0.8966666666666666,1.0,1.0,0.8966666666666666,1.0,1.0,1.0,1.0,0.98,0.9928571428571429,0.8957142857142857,0.9785714285714285,0.6271428571428571,0.6857142857142857,0.91,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9928571428571429,0.8957142857142857,0.9785714285714285,0.6271428571428571,0.6857142857142857,0.91,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,4.451824321746826,0.009661582372984085,0.009661584548960971,0.009649477358217591,3.216652465718133e-06,8.888362300774407e-06,0.009649479511133157,3.216665474668382e-06,8.888372353145054e-06,0.9168253968253969,1.0,1.0,0.9168253968253969,1.0,1.0,1.0,1.0,0.9871428571428571,0.9957142857142857,0.9471428571428572,0.98,0.66,0.74,0.9414285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871428571428571,0.9957142857142857,0.9471428571428572,0.98,0.66,0.74,0.9414285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,4.406471309661865,0.008579118585302718,0.00857912559233067,0.008569931756882442,3.6426917428062074e-06,5.544136677469526e-06,0.008569938753858024,3.6427006125450136e-06,5.544137860101367e-06,0.9258730158730158,1.0,1.0,0.9258730158730158,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.9585714285714285,0.9857142857142858,0.6671428571428571,0.7714285714285715,0.9614285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.9585714285714285,0.9857142857142858,0.6671428571428571,0.7714285714285715,0.9614285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,4.408893842697143,0.00796149256918415,0.007961495261363409,0.007956751801559744,1.4910464071565204e-06,3.249721217250067e-06,0.0079567544927042,1.4910433027479383e-06,3.2497253564615098e-06,0.9307936507936508,1.0,1.0,0.9307936507936508,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.9685714285714285,0.9871428571428571,0.6728571428571428,0.7914285714285715,0.9685714285714285,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.9685714285714285,0.9871428571428571,0.6728571428571428,0.7914285714285715,0.9685714285714285,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,4.40661452293396,0.007706900388934539,0.00770688639324638,0.007704188970871913,5.985841908979984e-07,2.112833871727898e-06,0.007704174976920745,5.985845235132036e-07,2.1128318021221767e-06,0.9326984126984127,1.0,1.0,0.9326984126984127,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.97,0.9871428571428571,0.6757142857142857,0.8028571428571428,0.97,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.97,0.9871428571428571,0.6757142857142857,0.8028571428571428,0.97,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,4.407935724258423,0.007414698149751038,0.0074147067603415355,0.007412634686397707,5.083017435575289e-07,1.555161609772652e-06,0.007412643298059966,5.08302002258244e-07,1.5551602793118311e-06,0.9357142857142857,1.0,1.0,0.9357142857142857,1.0,1.0,1.0,1.0,0.9928571428571429,0.9971428571428571,0.9742857142857143,0.99,0.6771428571428572,0.8142857142857143,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928571428571429,0.9971428571428571,0.9742857142857143,0.99,0.6771428571428572,0.8142857142857143,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,4.411202116012573,0.007237220816794664,0.00723723104362404,0.0072356596447172615,4.874708293567574e-07,1.0737012480459516e-06,0.007235669871066193,4.874710141429825e-07,1.0737015437039119e-06,0.9371428571428572,1.0,1.0,0.9371428571428572,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6871428571428572,0.8157142857142857,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6871428571428572,0.8157142857142857,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,4.438939447402954,0.007205877876752244,0.007205876800737951,0.007204847655388833,2.326765504207403e-07,7.975448129905595e-07,0.007204846578931052,2.3267677216421045e-07,7.975450347340296e-07,0.9371428571428572,1.0,1.0,0.9371428571428572,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6871428571428572,0.8157142857142857,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6871428571428572,0.8157142857142857,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
275,4.401250677108765,0.007150884872990024,0.0071508767989745805,0.007150133459235836,1.5030900526437022e-07,6.011047489231541e-07,0.00715012538580247,1.503089036319464e-07,6.011042684789688e-07,0.9374603174603174,1.0,1.0,0.9374603174603174,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6885714285714286,0.8171428571428572,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9742857142857143,0.99,0.6885714285714286,0.8171428571428572,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,4.451081199645996,0.0070880881397062225,0.007088099442540652,0.007087473389963624,1.3220686620722214e-07,4.825428763907107e-07,0.0070874846927703366,1.3220663522444074e-07,4.825431350914259e-07,0.9376190476190476,1.0,1.0,0.9376190476190476,1.0,1.0,1.0,1.0,0.9942857142857143,0.9985714285714286,0.9742857142857143,0.99,0.6885714285714286,0.8171428571428572,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942857142857143,0.9985714285714286,0.9742857142857143,0.99,0.6885714285714286,0.8171428571428572,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0
