epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000473641424,0.18750063519418975,0.06250004736414241,0.06249999515593998,0.06250000484406001,0.06250038617922936,0.06249999470180935,0.06250025431315104,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
25,5.671222124099732,0.02729766911036964,0.9990243299507799,0.026996103653411596,0.00028601042808048307,1.5555028877561054e-05,0.17414362401138117,0.35205220116509334,0.47282850477430555,0.6150793650793651,1.0,1.0,0.2777777777777778,0.4222222222222222,0.0,1.0,1.0,0.7071428571428572,0.7585714285714286,0.28714285714285714,0.4442857142857143,0.4357142857142857,0.51,0.39285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.8,0.6,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
50,7.1051357650756835,0.011097786244287483,0.9990426240143953,0.011064370237750773,2.2739623747174703e-05,1.0676382789536128e-05,0.17403609664351852,0.35366910298665366,0.4713374243842231,0.8606349206349206,1.0,1.0,0.2777777777777778,0.4,0.0,1.0,1.0,0.9742857142857143,0.9842857142857143,0.7857142857142857,0.9614285714285714,0.8357142857142857,0.5414285714285715,0.6628571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.9,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
75,7.094327354431153,0.005911827942116656,0.9427494920330284,0.005900085556864529,5.800285273128085e-06,5.942099978999486e-06,0.16539406482084298,0.32263113657633463,0.4547242906358507,0.9447619047619048,1.0,1.0,0.34444444444444444,0.4111111111111111,0.0,1.0,1.0,0.9957142857142857,1.0,0.9114285714285715,0.98,1.0,0.7614285714285715,0.8542857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9,0.8,0.1,0.0,0.0,0.0,0.1,0.2,1.0,0.9,0.9,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
100,7.143113126754761,0.004419165601891447,0.8654195856165003,0.004412041181399498,2.6589011152585348e-06,4.465519376690426e-06,0.15238387496383102,0.26855879889594186,0.44447691175672743,0.9638095238095238,1.0,1.0,0.4,0.4222222222222222,0.0,1.0,1.0,0.9957142857142857,1.0,0.9357142857142857,0.9814285714285714,1.0,0.8257142857142857,0.9357142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.7,0.2,0.0,0.1,0.0,0.3,0.3,1.0,1.0,0.9,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
125,7.2187169170379635,0.003705140339568704,0.8284642301959757,0.0037010690732818007,1.2999039793771412e-06,2.7713623075258165e-06,0.1450892318913966,0.2471538543701172,0.4362211439344618,0.9685714285714285,1.0,1.0,0.4111111111111111,0.43333333333333335,0.0,1.0,1.0,0.9971428571428571,1.0,0.9442857142857143,0.9842857142857143,1.0,0.8471428571428572,0.9442857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.8,0.3,0.0,0.1,0.0,0.2,0.3,1.0,1.0,0.95,0.0,nan,nan,nan,nan,nan,nan,0.0,nan
150,7.175600366592407,0.0033058959095388966,0.8028412171352056,0.003303627942604993,6.212771589320804e-07,1.6466897749711597e-06,0.14437951923888406,0.23028346167670355,0.42817823621961804,0.9717460317460317,1.0,1.0,0.4444444444444444,0.45555555555555555,0.0,1.0,1.0,0.9985714285714286,1.0,0.9528571428571428,0.9857142857142858,1.0,0.8542857142857143,0.9542857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.8,0.3,0.0,0.1,0.0,0.4,0.4,1.0,1.0,0.9,0.06,nan,nan,nan,nan,nan,nan,0.0,nan
175,7.146150350570679,0.0031324390148640504,0.7836221694946289,0.0031311132037450395,3.749697971793394e-07,9.508413218316577e-07,0.1418103535970052,0.21875616709391277,0.42305564880371094,0.9733333333333334,1.0,1.0,0.4444444444444444,0.4666666666666667,0.0,1.0,1.0,0.9985714285714286,1.0,0.9571428571428572,0.9871428571428571,1.0,0.86,0.9571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.8,0.3,0.0,0.1,0.0,0.4,0.4,1.0,1.0,0.9,0.08,nan,nan,nan,nan,nan,nan,0.0,nan
200,7.174509162902832,0.003002481652925537,0.7607738565515589,0.003001612372289049,2.382534910880384e-07,6.310271453999338e-07,0.13740610193323208,0.20514630211724175,0.41822145250108506,0.9744444444444444,1.0,1.0,0.45555555555555555,0.4888888888888889,0.0,1.0,1.0,1.0,1.0,0.96,0.9885714285714285,1.0,0.8642857142857143,0.9571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.8,0.3,0.2,0.1,0.0,0.4,0.3,1.0,1.0,0.9,0.12,nan,nan,nan,nan,nan,nan,0.0,nan
225,7.181686201095581,0.002949151412257021,0.7448817147148981,0.002948572606216242,1.5987670936045193e-07,4.1892933141854075e-07,0.13333816528320314,0.197073851691352,0.41446969774034287,0.9747619047619047,1.0,1.0,0.45555555555555555,0.5111111111111111,0.0,1.0,1.0,1.0,1.0,0.96,0.9885714285714285,1.0,0.8671428571428571,0.9571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.8,0.3,0.2,0.1,0.0,0.4,0.3,1.0,1.0,0.95,0.14,nan,nan,nan,nan,nan,nan,0.0,nan
