epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000188380112,0.18750015482490445,0.06250000430583112,0.0625,0.06250001453218006,0.06250003296651957,0.06250005828009711,0.06250006357828776,0.1111111111111111,0.5555555555555556,0.14285714285714285,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,29.854138879776002,0.02794478909679191,0.09995469546612398,0.027572305669229497,0.0003581433447580489,1.434008280436198e-05,0.03701110180513359,0.004191390673319499,0.0587522029876709,0.5953968253968254,1.0,1.0,0.46805555555555556,0.9791666666666666,0.875,1.0,1.0,0.7371428571428571,0.6671428571428571,0.3914285714285714,0.45285714285714285,0.4014285714285714,0.3985714285714286,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.575,0.425,0.2125,0.2625,0.225,0.2375,0.275,1.0,0.9875,0.91875,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,33.444710521698,0.012853582552658819,0.08737922481916569,0.012815500087838955,2.543189695903233e-05,1.2650567860830398e-05,0.026410922297724973,0.0023956234256426495,0.058572679095798066,0.8495238095238096,1.0,1.0,0.6902777777777778,0.9888888888888889,0.8736111111111111,1.0,1.0,0.9971428571428571,0.9928571428571429,0.7857142857142857,0.9328571428571428,0.5457142857142857,0.6571428571428571,0.7342857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9,0.8375,0.55,0.725,0.3875,0.3125,0.5,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,0.0
75,35.16367855072021,0.00789874003566079,0.08605155724066275,0.007880384118889165,9.257315051934077e-06,9.098601719689747e-06,0.025864120765968605,0.0029155108663770886,0.05727192560831706,0.9273015873015873,1.0,1.0,0.7583333333333333,0.9888888888888889,0.8736111111111111,1.0,1.0,1.0,0.9971428571428571,0.9142857142857143,0.9685714285714285,0.65,0.8985714285714286,0.9171428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9,0.8625,0.6875,0.725,0.5,0.55,0.6,1.0,1.0,0.95625,0.9975,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,0.0
100,33.30565755844116,0.00489433117953295,0.0851755369592596,0.004881198351555611,7.127806071251157e-06,6.005021906088269e-06,0.025418931466561778,0.0033784316645728216,0.056378173828125,0.9587301587301588,1.0,1.0,0.7958333333333333,0.9902777777777778,0.8736111111111111,1.0,1.0,1.0,1.0,0.9657142857142857,0.9757142857142858,0.7757142857142857,0.9442857142857143,0.9671428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,0.975,0.875,0.9125,0.7875,0.725,0.6125,0.575,0.7,1.0,0.9875,0.9625,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,0.0
125,36.68482969284057,0.003013673147295045,0.08058484259210988,0.0030054639382337137,4.587237028375505e-06,3.6219720329557145e-06,0.023271600699719088,0.0031277295615937976,0.054185512330796985,0.9744444444444444,1.0,1.0,0.8305555555555556,0.9888888888888889,0.8736111111111111,1.0,1.0,1.0,1.0,0.9771428571428571,0.9842857142857143,0.8685714285714285,0.9642857142857143,0.9757142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9,0.9,0.8125,0.7625,0.7625,0.625,0.7125,1.0,0.9875,0.95625,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,0.0
150,33.48631267547607,0.0012853794425029498,0.07810550536270494,0.0012811417890814458,2.1510115928120085e-06,2.0866418286921485e-06,0.021246500368471498,0.002567438781261444,0.05429156621297201,0.99,1.0,1.0,0.8486111111111111,0.9972222222222222,0.875,1.0,1.0,1.0,1.0,0.9785714285714285,0.9842857142857143,0.9885714285714285,0.9742857142857143,0.9842857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.925,0.875,0.825,0.75,0.8875,0.625,0.75,1.0,1.0,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
175,33.553779439926146,0.0010089794866497605,0.07697040376103956,0.0010068285233970251,1.115247548099548e-06,1.0357157046359683e-06,0.020995396743586036,0.0020544730954700045,0.05392053392198351,0.9920634920634921,1.0,1.0,0.8513888888888889,0.9986111111111111,0.875,1.0,1.0,1.0,1.0,0.98,0.9871428571428571,1.0,0.9742857142857143,0.9871428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9125,0.875,0.8,0.75,0.925,0.625,0.775,1.0,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,33.615942792892454,0.0009135068256311067,0.07598758293890659,0.0009123359828188726,6.437601728571786e-07,5.270826393767954e-07,0.02076706591947579,0.0018938996725612217,0.053326617346869574,0.9925396825396825,1.0,1.0,0.8527777777777777,0.9986111111111111,0.875,1.0,1.0,1.0,1.0,0.98,0.99,1.0,0.9757142857142858,0.9871428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9125,0.875,0.825,0.7375,0.9125,0.625,0.7875,1.0,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
225,33.42545808792114,0.00084751444945943,0.07537746920629784,0.000846763624295566,4.26657497882843e-07,3.241676659811111e-07,0.020504110830801506,0.0018232641948593988,0.053050094180636935,0.9931746031746032,1.0,1.0,0.8625,0.9986111111111111,0.875,1.0,1.0,1.0,1.0,0.98,0.9914285714285714,1.0,0.98,0.9871428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9375,0.8625,0.825,0.75,0.95,0.625,0.8125,1.0,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
