epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998775529272,0.18749998775529272,0.062499996232397756,0.062499987284342445,0.06250000423855252,0.062499996232397756,0.062499987284342445,0.06250000423855252,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4.363403644561767,0.015288816042198443,0.015288842654453566,0.01519577685697579,8.386674854490492e-05,9.172436677747303e-06,0.015195803230191453,8.386699689759148e-05,9.172427364521557e-06,0.7866666666666666,1.0,1.0,0.7866666666666666,1.0,1.0,1.0,1.0,0.98125,0.99625,0.545,0.70875,0.435,0.825,0.58875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98125,0.99625,0.545,0.70875,0.435,0.825,0.58875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.13252552986145,0.005963144991819942,0.0059631388827893934,0.0059586371904538004,2.6252707983884546e-06,1.882530567753646e-06,0.005958631068100164,2.625273902797037e-06,1.8825407864318954e-06,0.9366666666666666,1.0,1.0,0.9366666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.8325,1.0,0.70625,0.9975,0.89375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8325,1.0,0.70625,0.9975,0.89375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,5.13561484336853,0.0028262853495098286,0.0028262862933506427,0.002824098563488619,1.2054183106455537e-06,9.813677105638715e-07,0.002824099505389178,1.2054158529887596e-06,9.813721084760294e-07,0.9748611111111111,1.0,1.0,0.9748611111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.98125,1.0,0.82375,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98125,1.0,0.82375,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.296592807769775,0.0017365340020595247,0.0017365354153954275,0.00173558329358513,4.5601233270847133e-07,4.946961416862905e-07,0.0017355847064359688,4.5601217102052435e-07,4.946967884380785e-07,0.9854166666666667,1.0,1.0,0.9854166666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.8825,1.0,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,1.0,0.8825,1.0,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,6.098297519683838,0.0010595188120485679,0.0010595199887775155,0.0010590323695430048,2.3289957122566798e-07,2.535429343374239e-07,0.0010590335469187041,2.3289889213629068e-07,2.535429666750133e-07,0.9911111111111112,1.0,1.0,0.9911111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.9975,1.0,0.93,1.0,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975,1.0,0.93,1.0,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,5.16288911819458,0.0009075203915913503,0.0009075222752631188,0.0009072194276032624,1.468229230441567e-07,1.541410650437077e-07,0.0009072213114043814,1.468229553817461e-07,1.5414090335576072e-07,0.9923611111111111,1.0,1.0,0.9923611111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.93875,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.93875,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,5.136898326873779,0.0008056456857108667,0.0008056471573819843,0.000805458492702908,9.084383944152958e-08,9.634916851710942e-08,0.0008054599644225321,9.08436130784038e-08,9.63493463738511e-08,0.9931944444444445,1.0,1.0,0.9931944444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.94625,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.94625,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,5.146425123214722,0.0007210277302281745,0.0007210237272478098,0.0007208933653654876,6.619038483929923e-08,6.817447784770694e-08,0.00072088936228811,6.619038483929923e-08,6.817457486047513e-08,0.9941666666666666,1.0,1.0,0.9941666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.955,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.955,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,5.160432329177857,0.0006458136396911778,0.0006458147580768261,0.0006457114514009451,5.025096470490098e-08,5.19373255277363e-08,0.0006457125699078595,5.0250960662702304e-08,5.193720830397474e-08,0.9944444444444445,1.0,1.0,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.9575,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.9575,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
